trigger,venue_program,venue_name,kind,n,n_mints,n_days,as_reported_n,as_reported_mean,as_reported_lower,as_reported_upper,carry_forward_n,carry_forward_mean,carry_forward_lower,carry_forward_upper,residual_at_zero_mean,residual_lower,residual_upper,censored_fraction,cost_floor,cost_floor_pct,cost_floor_note,median_trades_per_mint,median_traders_per_mint,same_trade_fraction
T0,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,orca whirlpool,AMM,17,17,2,6,-0.0030053743440948875,-0.0030053743440948875,-0.0030053743440948875,6,-0.0030053743440948875,-0.0030053743440948875,-0.0030053743440948875,-0.6481195438861511,-1,-0.5015026871720475,0.6470588235294118,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,29,13,0.058823529411764705
T0,b1oomGGqPKGD6errbyfbVMBuzSC8WtAAYo8MwNafWW1,,UNKNOWN,12,12,2,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,5,0.75
T0,proVF4pMXVaYqmy4NjniPh4pqKNfMmsihgd4wdkCX3u,,UNKNOWN,58,58,2,8,-0.007966214100314672,-0.035988732772441745,-0.003962997147153662,9,-0.007268697578863319,-0.035988732772441745,-0.003678693179666015,-0.863167753669009,-0.9035988732772442,-0.8547446037506266,0.8620689655172413,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,9,0.5517241379310345
T0,58PMEdUAwvLytNNwCbzrYyhLoh3jpsNV4fW9dT9ibuRc,,UNKNOWN,2,2,1,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,54.5,1
T0,m9obQHAPyZeZ88w7XUY8Te6a8rBmhXsfKco7u8G8tnB,,UNKNOWN,10,10,2,1,0.01842330368429046,0.01842330368429046,0.01842330368429046,1,0.01842330368429046,0.01842330368429046,0.01842330368429046,-0.898157669631571,-1,-0.85451095661653,0.9,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,6,0.8
T0,AKbotMAGJmYPwV8z55Lqiqgijt2KcjLeFGue5sw1noHM,,UNKNOWN,14,14,2,4,-0.0019938639870594743,-0.0019938639870594743,-0.0019938639870594743,5,-0.0013966527648326733,-0.0013966527648326733,-0.0013966527648326733,-0.7148553897105885,-1,-0.5564417173275821,0.7142857142857143,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,13,0.7857142857142857
T0,pumpapii17v9uhRiokHwhG3yWYtB6hgJRmsSC5p5bb2,,UNKNOWN,5,5,2,1,-0.07572747075645536,-0.07572747075645536,-0.07572747075645536,1,-0.07572747075645536,-0.07572747075645536,-0.07572747075645536,-0.815145494151291,-1,-0.07572747075645536,0.8,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,24,0.8
T0,swapBHFPgz3k6EyQGj779b8jhHz2rpyDwBHrd2ahqKs,,UNKNOWN,43,43,2,10,0.00724345709978842,0.00724345709978842,0.00724345709978842,11,0.006584960999807654,0.006584960999807654,0.006584960999807654,-0.7657573355581887,-1,-0.7122161551143461,0.7674418604651163,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,1,0.9767441860465116
T0,mayan34VedncxdK2XobtvWFDXQASUTBXhUVzt2kKgny,,UNKNOWN,1,1,1,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,5,1
T0,6spNuuMx4amWCsFTyVGr5T2sGNoJqqxBf74jzk68n2mf,,UNKNOWN,2,2,1,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,7.5,1
T0,2UUgGySTVXmKFatH7pGQo84ZrzdSYF5zw9iqrGwBMuuj,,UNKNOWN,2,2,2,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,1,17.5,0
T0,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,raydium cpmm,AMM,13,13,2,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,23,18,0.07692307692307693
T0,ATcf97HMtje1fW8DiYRqcZSZkqtoh8rbk9hv1NVR8NB,,UNKNOWN,2,2,2,1,0.007158854869232734,0.007158854869232734,0.007158854869232734,1,0.007158854869232734,0.007158854869232734,0.007158854869232734,-0.49642057256538363,-1,0.007158854869232734,0.5,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,5.5,1
T0,DC5odoz58JML6XbqejHFRhawkGpv7qwV3UQphXDuej5W,,UNKNOWN,1,1,1,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,32,1
T0,H5k1PVjAiZxvca3Fix3LKtpS7GJB6h3JinqZoiDx2N54,,UNKNOWN,2,2,2,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,1,1
