trigger,population,tier_bucket,notional_sol,cost_floor_pct,cost_floor_from_tier,cost_floor_exact,fired_holdout,selectivity_holdout,arrivals_per_day,n_holdout,n_fit,censored_holdout,utc_days_holdout,gross_mean_holdout,gross_mean_fit,sd_holdout,net_mean_holdout,cv_net,required_n,days,decidable_point,holdout_lower,holdout_upper,net_lower_bound,decidable_holdout,censored_fraction,carry_forward_marked,no_mark_at_all,n_carry_forward,carry_forward_mean,net_carry_forward_mean,carry_forward_lower,carry_forward_upper,net_carry_forward_lower,n_residual_zero,residual_zero_mean,net_residual_zero_mean,residual_zero_lower,residual_zero_upper,net_residual_zero_lower,correction_agrees_in_sign
T0,migrated-at-entry,tier3+,0.2,1.0365,16,false,1,0.011904761904761904,0.9404761904761905,1,0,0,1,0.3297435221799754,,,0.31937852217997537,,,,false,,,,false,0,0,0,1,0.3297435221799754,0.31937852217997537,,,,1,0.3297435221799754,0.31937852217997537,,,,true
T0,migrated-at-entry,tier3+,0.35,1.0605,16,false,1,0.011904761904761904,0.9404761904761905,1,0,0,1,0.3297435221799754,,,0.3191385221799754,,,,false,,,,false,0,0,0,1,0.3297435221799754,0.3191385221799754,,,,1,0.3297435221799754,0.3191385221799754,,,,true
T0,migrated-at-entry,tier3+,0.5,1.086,16,false,1,0.011904761904761904,0.9404761904761905,1,0,0,1,0.3297435221799754,,,0.3188835221799754,,,,false,,,,false,0,0,0,1,0.3297435221799754,0.3188835221799754,,,,1,0.3297435221799754,0.3188835221799754,,,,true
T0,migrated-at-entry,tier3+,1,1.1733,16,false,1,0.011904761904761904,0.9404761904761905,1,0,0,1,0.3297435221799754,,,0.3180105221799754,,,,false,,,,false,0,0,0,1,0.3297435221799754,0.3180105221799754,,,,1,0.3297435221799754,0.3180105221799754,,,,true
T0,all-snapshotted,any,0.005,2.7507,0,true,38802,1,79,5486,53965,33316,3,0.006520348681621443,0.03557625171710151,0.9952730151745356,-0.020986651318378558,47.424098303046044,17633,224,false,-0.022124613013753878,0.009978810859755449,-0.04963161301375388,false,0.8586155352816865,1280,32036,6766,0.007197589676757947,-0.02030941032324205,-0.03187273477833041,0.013168978505555947,-0.059379734778330404,38802,-0.8576936592735491,-0.8852006592735491,-1,-0.8300499732155939,-1.027507,false
T0,all-snapshotted,any,0.01,2.6693,0,true,38802,1,79,5486,53965,33316,3,0.006520348681621443,0.03557625171710151,0.9952730151745356,-0.020172651318378556,49.33773947045717,19085,242,false,-0.022124613013753878,0.009978810859755449,-0.048817613013753876,false,0.8586155352816865,1280,32036,6766,0.007197589676757947,-0.01949541032324205,-0.03187273477833041,0.013168978505555947,-0.05856573477833041,38802,-0.8576936592735491,-0.8843866592735491,-1,-0.8300499732155939,-1.026693,false
T0,all-snapshotted,any,0.02,2.6878,0,true,38802,1,79,5486,53965,33316,3,0.006520348681621443,0.03557625171710151,0.9952730151745356,-0.02035765131837856,48.88938314195504,18739,238,false,-0.022124613013753878,0.009978810859755449,-0.04900261301375388,false,0.8586155352816865,1280,32036,6766,0.007197589676757947,-0.019680410323242054,-0.03187273477833041,0.013168978505555947,-0.05875073477833041,38802,-0.8576936592735491,-0.8845716592735491,-1,-0.8300499732155939,-1.026878,false
T0,all-snapshotted,any,0.05,2.8879,0,true,38802,1,79,5486,53965,33316,3,0.006520348681621443,0.03557625171710151,0.9952730151745356,-0.02235865131837856,44.51400046461802,15535,197,false,-0.022124613013753878,0.009978810859755449,-0.051003613013753876,false,0.8586155352816865,1280,32036,6766,0.007197589676757947,-0.021681410323242056,-0.03187273477833041,0.013168978505555947,-0.06075173477833041,38802,-0.8576936592735491,-0.8865726592735491,-1,-0.8300499732155939,-1.028879,false
T0,all-snapshotted,any,0.1,3.2673,0,true,38802,1,79,5486,53965,33316,3,0.006520348681621443,0.03557625171710151,0.9952730151745356,-0.02615265131837856,38.056295060039126,11355,144,false,-0.022124613013753878,0.009978810859755449,-0.05479761301375388,false,0.8586155352816865,1280,32036,6766,0.007197589676757947,-0.025475410323242055,-0.03187273477833041,0.013168978505555947,-0.06454573477833041,38802,-0.8576936592735491,-0.8903666592735491,-1,-0.8300499732155939,-1.032673,false
T0,all-snapshotted,any,0.2,4.0347,0,true,38802,1,79,5486,53965,33316,3,0.006520348681621443,0.03557625171710151,0.9952730151745356,-0.03382665131837856,29.422747342235084,6788,86,false,-0.022124613013753878,0.009978810859755449,-0.06247161301375388,false,0.8586155352816865,1280,32036,6766,0.007197589676757947,-0.033149410323242055,-0.03187273477833041,0.013168978505555947,-0.07221973477833041,38802,-0.8576936592735491,-0.8980406592735491,-1,-0.8300499732155939,-1.040347,false
